id,type,x,y,z
FLPL,"Neuron, ciliated ending in head, no supporting cells, associated with ILso",10.875,-246.3,31.05
M3L,Pharyngeal sensory-motorneurons,3.7500002,-295.4,48.15
PVNL,"Interneuron/motor neuron, post. vent. cord, few synapses",0.55,410.0,8.900001
MCR,Pharyngeal neurons that synapse onto marginal cells,-7.25,-296.15,52.3
ASKR,"Amphid neurons, single ciliated endings",-8.0,-268.025,46.399998
AVG,Ventral cord interneuron,-2.0,-237.1,12.85
ASJL,"Amphid neurons, single ciliated endings",2.9750001,-263.0,37.475
AWBR,"Amphid wing cells, neurons having ciliated sheet-like sensory endings closely associated with amphid sheath",-9.75,-266.225,43.1
RMHR,Ring motor neuron/interneuron,-5.2999997,-265.9,35.7
DA3,"Ventral cord motor neurons, innervate dorsal muscles",-1.65,-123.65,-58.350002
AVBL,Ventral cord interneuron,0.225,-269.794,37.863003
URADL,Ring motor neuron,5.0,-284.65,52.2
RIVL,Ring interneuron,4.5,-265.30002,50.35
SAADL,"Ring interneuron, anteriorly projecting process that runs sublaterally",-4.6879997,-270.169,42.131
AS6,"Ventral cord motor neuron, innervates dorsal muscles, no ventral counterpart",-1.9,28.25,-34.25
AWAL,"Amphid wing cells, neurons having ciliated sheet-like sensory endings closely associated with amphid sheath",3.9,-265.875,42.75
OLQDL,Quadrant outer labial neuron,2.775,-280.0,53.425003
DD6,"Ventral cord motor neurons, reciprocal inhibitors, change synaptic pattern during L1",-1.9,365.775,-16.475
VB7,"Ventral cord motor neuron, innervates vent. body muscles",-9.675,41.45,-24.362
ASJR,"Amphid neurons, single ciliated endings",-7.25,-263.0,37.475
RIVR,Ring interneuron,-8.75,-265.30002,50.35
SAAVL,"Ring interneuron, anteriorly projecting process that runs sublaterally",3.9,-270.90002,45.425
AFDL,Amphid finger cell,4.5,-268.375,43.5
DD3,"Ventral cord motor neurons, reciprocal inhibitors, change synaptic pattern during L1",-1.9,-28.600002,-60.525
URYDL,"Neuron, presynaptic in ring, ending in head",4.125,-281.425,51.899998
SIADL,"Receive a few synapses in the ring, have posteriorly directed processes that run sublaterally",-3.958,-267.658,43.967
M5,Pharyngeal motorneuron,-2.2,-241.45,41.800003
AFDR,Amphid finger cell,-8.75,-268.375,43.5
CEPDL,"Cephalic neurons, contain dopamine",1.35,-275.02502,54.075005
ADAR,Ring interneuron,-12.9,-239.25,31.05
SIBVL,Similar to SIA,-2.667,-269.867,35.408
DA6,"Ventral cord motor neurons, innervate dorsal muscles",-1.65,198.675,-6.3500004
BDUL,"Neuron, process runs along excretory canal and into ring, unique darkly staining synaptic vesicles",15.35,-187.15,-0.2
IL2DR,Inner labial neuron,-11.35,-287.47498,57.125004
RIPL,"Ring/pharynx interneuron, only direct connection between pharynx and ring",3.3750002,-278.57498,48.824997
VB2,"Ventral cord motor neuron, innervates vent. body muscles",-2.0,-253.3,19.85
AIZR,Amphid interneuron,-9.95,-258.75,37.45
VC4,Hermaphrodite specific ventral cord motor neuron innervates vulval muscles and ventral body muscles,-1.15,43.85,-24.2
PVM,"Posterior ventral microtubule cell, touch receptor",24.85,188.8,20.550001
AIMR,Ring interneuron,-13.500001,-253.44998,28.400002
PVWR,"Interneuron, posterior ventral cord, few synapses",-3.4,405.4,6.8
PVWL,"Interneuron, posterior ventral cord, few synapses",0.8,405.4,6.8
PHCR,"Neuron, striated rootlet in male, possibly sensory in tail spike",-3.425,408.775,7.275
NSMR,"Pharyngeal neurosecretory motorneuron, contain serotonin",-6.3500004,-292.25,51.8
RICL,Ring interneuron,-0.737,-267.063,38.087
VA12,"Ventral cord motor neuron, innervates vent. body muscles, but also interneuron in preanal ganglion",-0.1,362.45,-18.15
AVFR,Interneuron,-6.5,-246.4,18.6
AIML,Ring interneuron,9.25,-253.44998,28.400002
I5,"Pharyngeal interneuron, post sensory",-2.1,-247.84999,30.675
PVDL,"Neuron, lateral process adjacent to excretory canal",24.749,175.151,24.952
DB2,"Ventral cord motor neurons, innervate dorsal muscles, reciprocal inhibitor (aka DB3/1)",-0.2,-244.5,15.787
M3R,Pharyngeal sensory-motorneurons,-8.05,-295.4,48.15
CEPVL,"Cephalic neurons, contain dopamine",0.70000005,-277.125,39.925
AVDR,Ventral cord interneuron,-4.033,-268.683,37.283
LUAR,"Interneuron, short process in post ventral cord",-3.85,403.80002,4.1
