pre,post,kind,weight
I1L,I2L,chemical,10.0
I1L,I3,chemical,3.0
I1L,I5,chemical,2.0
I1L,I6,chemical,1.0
I1L,M2L,chemical,3.0
I1L,M3L,chemical,8.0
I1L,M3R,chemical,2.0
I1L,MCL,chemical,2.0
I1L,MCR,chemical,2.0
I1L,MI,chemical,2.0
I1L,NSML,chemical,3.0
I2L,I1L,chemical,2.0
I2L,I5,chemical,2.0
I2L,I6,chemical,2.0
I2L,M3R,chemical,3.0
I2L,NSML,chemical,14.0
I2L,I2R,chemical,3.0
I2L,M1,chemical,1.0
I2L,NSMR,chemical,24.0
I2L,I4,chemical,13.0
I2L,M4,chemical,4.0
I3,I1L,chemical,1.0
I3,I5,chemical,2.0
I3,I6,chemical,1.0
I3,M2L,chemical,2.0
I3,M3L,chemical,2.0
I3,M3R,chemical,2.0
I3,MCL,chemical,1.0
I3,MCR,chemical,2.0
I3,MI,chemical,1.0
I3,I1R,chemical,1.0
I3,M1,chemical,2.0
I3,NSMR,chemical,2.0
I3,M4,chemical,2.0
I5,I1L,chemical,2.0
I5,I2L,chemical,3.0
I5,I3,chemical,1.0
I5,M2L,chemical,4.0
I5,M3L,chemical,4.0
I5,M3R,chemical,2.0
I5,MI,chemical,4.0
I5,NSML,chemical,1.0
I5,I2R,chemical,1.0
I5,M1,chemical,3.0
I5,NSMR,chemical,5.0
I5,I4,chemical,7.0
I5,M4,chemical,19.0
I5,M5,chemical,2.0
I6,I2L,chemical,1.0
I6,I3,chemical,12.0
I6,M3L,chemical,10.0
I6,NSML,chemical,24.0
I6,I1R,chemical,1.0
I6,I2R,chemical,4.0
I6,NSMR,chemical,23.0
I6,M4,chemical,15.0
M2L,I3,chemical,2.0
M2L,I5,chemical,2.0
M2L,M3L,chemical,3.0
M2L,M3R,chemical,1.0
M2L,I4,chemical,8.0
M3L,NSML,chemical,1.0
M3R,M4,chemical,2.0
MI,I1L,chemical,1.0
MI,I3,chemical,2.0
MI,M2L,chemical,3.0
MI,M3L,chemical,2.0
MI,M3R,chemical,2.0
MI,MCL,chemical,3.0
MI,NSML,chemical,1.0
MI,M1,chemical,7.0
MI,M2R,chemical,2.0
MI,NSMR,chemical,2.0
MI,I4,chemical,1.0
NSML,I6,chemical,1.0
NSML,M3L,chemical,21.0
NSML,M3R,chemical,1.0
NSML,NSMR,chemical,7.0
NSML,I4,chemical,1.0
NSML,M4,chemical,13.0
I1R,I3,chemical,1.0
I1R,I5,chemical,2.0
